,classified_id,classified_type,classified_subtype,classified_price,classified_transactionType,classified_zip,classified_visualisationOption,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_atticExists,classified_basementExists,classified_outdoor_garden_surface,classified_outdoor_terrace_exists,classified_specificities_SME_office_exists,classified_wellnessEquipment_hasSwimmingPool,classified_parking_parkingSpaceCount_indoor,classified_parking_parkingSpaceCount_outdoor,classified_condition_isNewlyBuilt,new_price,classified_region,bedroom_count
14442,9957850,house,house,1485000,forsale,1702,xl,hyperequipped,1912.0,good,gas,435.0,5.0,2836.0,True,True,,True,True,True,5.0,3.0,,0,Vlaams Brabant,5
14443,10077366,house,mixedusebuilding,1795000,forsale,3040,xl,hyperequipped,1919.0,justrenovated,gas,161.0,5.0,11000.0,,True,,True,True,,2.0,,,0,Vlaams Brabant,5
14444,10077364,house,villa,1795000,forsale,3040,xl,hyperequipped,1919.0,justrenovated,gas,161.0,5.0,11000.0,,True,,True,True,,2.0,,,0,Vlaams Brabant,5
14445,9998919,house,villa,2155000,forsale,8300,xl,semiequipped,2015.0,justrenovated,gas,102.51,5.0,458.0,,,,True,,,1.0,4.0,,0,West Vlaanderen,5
14446,9981509,house,house,2650000,forsale,7740,xl,hyperequipped,1960.0,good,gas,614.0,7.0,40000.0,True,True,,True,True,,3.0,6.0,,0,Hainaut,6 to 8
14447,5750433,house,villa,2750000,forsale,1180,xl,hyperequipped,1920.0,justrenovated,gas,487.0,7.0,2600.0,,True,,True,True,,2.0,1.0,,0,Brussels,6 to 8
14448,10034094,house,exceptionalproperty,2755000,forsale,8300,xl,hyperequipped,2004.0,justrenovated,gas,193.0,5.0,937.0,,,937.0,True,True,True,1.0,4.0,,0,West Vlaanderen,5
14449,9370746,house,villa,2950000,forsale,1180,xl,installed,1958.0,torenovate,fueloil,493.0,5.0,3237.0,,True,,True,True,,3.0,,,0,Brussels,5
14450,10110862,house,villa,3500000,forsale,1180,xl,hyperequipped,2013.0,justrenovated,gas,69.0,4.0,1396.0,,True,,True,True,,2.0,,,0,Brussels,4
14451,10121977,house,villa,3650000,forsale,8300,xl,hyperequipped,1977.0,good,gas,267.0,4.0,515.0,True,True,515.0,True,,,1.0,2.0,,0,West Vlaanderen,4
14452,9923424,house,villa,3850000,forsale,8300,xl,hyperequipped,2005.0,justrenovated,gas,172.0,4.0,599.0,,,599.0,True,True,,2.0,4.0,,0,West Vlaanderen,4
14453,10036081,house,villa,3995000,forsale,8300,xl,hyperequipped,1928.0,justrenovated,fueloil,484.0,5.0,925.0,,True,925.0,True,True,,1.0,4.0,,0,West Vlaanderen,5
14454,10157743,house,townhouse,225000,forsale,6690,xl,installed,2013.0,justrenovated,fueloil,242.0,2.0,0.0,,True,,True,True,,,2.0,,0,Luxembourg,2
14455,10026156,house,house,299000,forsale,9200,xl,installed,,justrenovated,gas,51.0,3.0,70.0,,,,True,,,,,,0,Oost Vlaanderen,3
14456,10132906,house,house,289000,forsale,9000,xl,semiequipped,1931.0,torenovate,,829.0,3.0,150.0,,,,,,,1.0,,,0,Oost Vlaanderen,3
