,id,type,average_price,province
11326,10140735,apartment group,282500.0,VlaamsBrabant
11327,10141588,apartment group,181125.0,VlaamsBrabant
11328,10142123,apartment group,352500.0,VlaamsBrabant
11329,10052020,apartment,249000,VlaamsBrabant
11330,10141695,apartment group,249900.0,VlaamsBrabant
11331,10140797,apartment group,260000.0,VlaamsBrabant
11332,10140596,apartment,289000,VlaamsBrabant
11333,10140738,apartment group,402500.0,VlaamsBrabant
11334,10140741,apartment group,300000.0,VlaamsBrabant
11335,10140833,house,300000,VlaamsBrabant
11336,10140332,apartment,325000,VlaamsBrabant
11337,10140583,apartment,340000,VlaamsBrabant
11338,10140731,house group,410000.0,VlaamsBrabant
11339,10140459,house group,432000.0,VlaamsBrabant
11341,10161008,apartment,135000,WaalsBrabant
11342,10055409,apartment,440000,WaalsBrabant
11343,10142058,house,550000,WaalsBrabant
11344,10142207,apartment,849000,WaalsBrabant
11345,10147189,house,475000,WaalsBrabant
11346,10140724,house group,493000.0,WaalsBrabant
11347,10153406,house,265000,WaalsBrabant
11348,10148020,house,765000,WaalsBrabant
11349,10148316,house,479000,WaalsBrabant
11350,10152605,house,849000,WaalsBrabant
11351,10154117,house,369000,WaalsBrabant
11352,10161756,apartment,175000,WaalsBrabant
11353,10043854,house,447000,WaalsBrabant
11354,10161757,apartment,225000,WaalsBrabant
11355,10162316,apartment,140000,WaalsBrabant
11356,10162005,apartment,229000,WaalsBrabant
11357,10146858,apartment,189000,WaalsBrabant
11358,10148189,apartment,180000,WaalsBrabant
11359,10146820,apartment,340000,WaalsBrabant
11360,10146830,apartment,285000,WaalsBrabant
11361,10146817,apartment,435000,WaalsBrabant
11362,10159724,house,485000,WaalsBrabant
11363,10146816,apartment,645000,WaalsBrabant
11364,10146819,apartment,495000,WaalsBrabant
11365,10146818,apartment,470000,WaalsBrabant
11366,10159480,house,700000,WaalsBrabant
11367,10159365,house,765000,WaalsBrabant
11368,10087172,house,289000,WaalsBrabant
11369,10161247,house,475000,WaalsBrabant
11370,10161655,house,295000,WaalsBrabant
11372,10161361,house,595000,Oost-Vlaanderen
