id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10151862,house group,house group,365000 - 555000,for sale,,,,,,,,1,Namen
10152045,apartment,apartment,444000,for sale,hyper equipped,gas,3,,true,,,,Namen
10151854,apartment group,apartment group,333400 - 451250,for sale,,,,,,,,1,Namen
10152380,apartment group,apartment group,415000 - 675000,for sale,,,,,,,,1,Namen
10152367,apartment group,apartment group,390000 - 885000,for sale,,,,,,,,1,Namen
10151981,house,house,379000,for sale,semi equipped,fueloil,4,269,true,,,,Namen
10150449,apartment group,apartment group,445000 - 445000,for sale,,,,,,,,1,Namen
10153222,house group,house group,449000 - 477000,for sale,,,,,,,,1,Namen
10153226,house group,house group,485000 - 485000,for sale,,,,,,,,1,Namen
10151589,apartment,apartment,479000,for sale,hyper equipped,gas,3,,true,350,,,Namen
10150676,apartment,apartment,520000,for sale,installed,gas,3,,true,,,,Namen
10158270,house,house,450000,for sale,installed,fueloil,3,865,true,758,,,Namen
10159755,apartment,apartment,320000,for sale,hyper equipped,gas,2,,true,,,1,Namen
10161587,house,house,599000,for sale,installed,fueloil,5,393,true,170,,,Namen
10159757,apartment,apartment,375000,for sale,hyper equipped,gas,2,,true,,,1,Namen
10159758,apartment,apartment,380000,for sale,hyper equipped,gas,2,,true,,,1,Namen
10159930,apartment,apartment,245000,for sale,installed,gas,2,,true,,,,Namen
10159909,apartment,apartment,299500,for sale,installed,gas,2,,,,,,Namen
10160932,apartment,penthouse,3585000,for sale,,gas,5,,true,,,,Namen
10147556,apartment,penthouse,79000,for sale,semi equipped,electric,2,,,,,,Namen
10149730,apartment group,apartment group,179000 - 495000,for sale,,,,,,,,1,Namen
10149128,house,house,159000,for sale,installed,gas,3,40,,,,,Namen
10147547,apartment group,apartment group,229500 - 419500,for sale,,,,,,,,1,Namen
10148703,house,house,239000,for sale,hyper equipped,gas,2,180,true,85,,,Namen
10148143,apartment,apartment,235000,for sale,hyper equipped,gas,2,,true,,,,Namen
9963099,apartment,apartment,260000,for sale,hyper equipped,gas,2,,true,,,,Namen
10148104,apartment,apartment,265000,for sale,installed,gas,2,,true,,,,Namen
10148922,apartment,apartment,275000,for sale,usa hyper equipped,gas,3,,true,,,,Namen
10150355,house,house,289000,for sale,semi equipped,fueloil,3,204,true,100,,,Namen
10147859,apartment,apartment,295000,for sale,usa hyper equipped,gas,2,,,,,,Namen
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10148729,apartment,duplex,349000,for sale,usa installed,gas,4,,true,,,,Luik
10147389,apartment,duplex,335000,for sale,installed,gas,2,,true,,,,Luik
10147935,apartment,apartment,550000,for sale,hyper equipped,gas,2,,,,,,Luik
10147424,apartment group,apartment group,450000 - 450000,for sale,,,,,,,,1,Luik
10149386,apartment,apartment,415000,for sale,installed,gas,2,,true,,,,Luik
10149814,apartment group,apartment group,395000 - 455000,for sale,,,,,,,,1,Luik
10150923,house,house,625000,for sale,hyper equipped,gas,4,390,true,260,,,Luik
10147541,apartment group,apartment group,695000 - 1195000,for sale,,,,,,,,1,Luik
10150970,house,villa,625000,for sale,installed,gas,5,1368,true,900,,,Luik
