id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10153732,apartment,apartment,319000,for sale,usa installed,gas,1,,,,,,Turnhout
10151412,apartment group,apartment group,320000 - 550000,for sale,,,,,,,,1,Turnhout
10151862,house group,house group,365000 - 555000,for sale,,,,,,,,1,Turnhout
10151854,apartment group,apartment group,333400 - 451250,for sale,,,,,,,,1,Turnhout
10153006,house group,house group,336000 - 384000,for sale,,,,,,,,1,Turnhout
10152020,apartment,apartment,375000,for sale,hyper equipped,gas,2,,,,,,Turnhout
10153840,house group,house group,373000 - 417000,for sale,,,,,,,,1,Turnhout
10151981,house,house,379000,for sale,semi equipped,fueloil,4,269,true,,,,Turnhout
10152367,apartment group,apartment group,390000 - 885000,for sale,,,,,,,,1,Turnhout
10152380,apartment group,apartment group,415000 - 675000,for sale,,,,,,,,1,Turnhout
10152045,apartment,apartment,444000,for sale,hyper equipped,gas,3,,true,,,,Turnhout
10151589,apartment,apartment,479000,for sale,hyper equipped,gas,3,,true,350,,,Turnhout
10153222,house group,house group,449000 - 477000,for sale,,,,,,,,1,Turnhout
10153854,apartment,apartment,490000,for sale,installed,gas,2,,,,,,Turnhout
10153226,house group,house group,485000 - 485000,for sale,,,,,,,,1,Turnhout
10161587,house,house,599000,for sale,installed,fueloil,5,393,true,170,,,Turnhout
10149128,house,house,159000,for sale,installed,gas,3,40,,,,,Turnhout
10158270,house,house,450000,for sale,installed,fueloil,3,865,true,758,,,Turnhout
10148942,apartment group,apartment group,150000 - 1375000,for sale,,,,,,,,1,Turnhout
10149730,apartment group,apartment group,179000 - 495000,for sale,,,,,,,,1,Turnhout
10151182,apartment,apartment,209000,for sale,installed,gas,2,,true,,,,Turnhout
10151203,apartment,triplex,235000,for sale,installed,gas,2,,true,,,,Turnhout
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10151217,apartment,apartment,245000,for sale,installed,gas,3,,true,,,,Dinant
10148729,apartment,duplex,349000,for sale,usa installed,gas,4,,true,,,,Dinant
10148703,house,house,239000,for sale,hyper equipped,gas,2,180,true,85,,,Dinant
10148922,apartment,apartment,275000,for sale,usa hyper equipped,gas,3,,true,,,,Dinant
9963099,apartment,apartment,260000,for sale,hyper equipped,gas,2,,true,,,,Dinant
10150355,house,house,289000,for sale,semi equipped,fueloil,3,204,true,100,,,Dinant
10150676,apartment,apartment,520000,for sale,installed,gas,3,,true,,,,Dinant
10150449,apartment group,apartment group,445000 - 445000,for sale,,,,,,,,1,Dinant
10150970,house,villa,625000,for sale,installed,gas,5,1368,true,900,,,Dinant
10149814,apartment group,apartment group,395000 - 455000,for sale,,,,,,,,1,Dinant
10149386,apartment,apartment,415000,for sale,installed,gas,2,,true,,,,Dinant
10150923,house,house,625000,for sale,hyper equipped,gas,4,390,true,260,,,Dinant
10160268,house,house,335000,for sale,usa semi equipped,fueloil,4,2215,,,,,Dinant
9955479,house,house,239000,for sale,semi equipped,electric,3,503,true,250,,,Dinant
10160134,house,house,450000,for sale,hyper equipped,gas,3,122,true,64,,,Dinant
10094760,house,villa,475000,for sale,semi equipped,fueloil,5,1883,true,1748,,,Dinant
10086590,house,country cottage,550000,for sale,usa installed,gas,4,840,true,840,,,Dinant
10160090,house,exceptional property,545000,for sale,not installed,fueloil,8,2200,true,,,,Dinant
10160203,house,house,695000,for sale,usa installed,gas,3,254,true,123,,,Dinant
10160097,house,house,650000,for sale,usa installed,gas,3,104,true,,,,Dinant
10160112,house,house,735000,for sale,usa hyper equipped,gas,3,188,true,47,,,Dinant
10160317,apartment,apartment,215000,for sale,hyper equipped,gas,1,,true,,,,Dinant
10159930,apartment,apartment,245000,for sale,installed,gas,2,,true,,,,Dinant
10160366,apartment,apartment,275000,for sale,not installed,gas,2,,true,85,,,Dinant
10160095,apartment,flat studio,220000,for sale,usa hyper equipped,gas,0,,true,,,,Dinant
10159909,apartment,apartment,299500,for sale,installed,gas,2,,,,,,Dinant
10160847,apartment,apartment,595000,for sale,hyper equipped,gas,3,,true,,,,Dinant
10160848,apartment,apartment,595000,for sale,hyper equipped,gas,3,,true,,,,Dinant
10160932,apartment,penthouse,3585000,for sale,,gas,5,,true,,,,Dinant
10147556,apartment,penthouse,79000,for sale,semi equipped,electric,2,,,,,,Dinant
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10147870,house group,house group,234000 - 424900,for sale,,,,,,,,1,Leuven
10147547,apartment group,apartment group,229500 - 419500,for sale,,,,,,,,1,Leuven
10148104,apartment,apartment,265000,for sale,installed,gas,2,,true,,,,Leuven
10147032,house,house,159000,for sale,semi equipped,fueloil,2,335,true,171,,,Leuven
10148322,apartment group,apartment group,182000 - 390000,for sale,,,,,,,,1,Leuven
10148143,apartment,apartment,235000,for sale,hyper equipped,gas,2,,true,,,,Leuven
10147389,apartment,duplex,335000,for sale,installed,gas,2,,true,,,,Leuven
10146903,house,house,345000,for sale,usa installed,gas,4,49,,,,,Leuven
10070415,apartment,apartment,315000,for sale,installed,gas,2,,true,,,,Leuven
10147596,apartment,apartment,370000,for sale,installed,fueloil,2,,,,,,Leuven
10146909,apartment group,apartment group,415000 - 790000,for sale,,,,,,,,1,Leuven
10147935,apartment,apartment,550000,for sale,hyper equipped,gas,2,,,,,,Leuven
10146939,house,villa,750000,for sale,hyper equipped,gas,4,1045,true,,true,,Leuven
10147029,apartment,duplex,749500,for sale,hyper equipped,gas,2,,true,,,,Leuven
10147541,apartment group,apartment group,695000 - 1195000,for sale,,,,,,,,1,Leuven
10146862,house,villa,895000,for sale,installed,fueloil,3,300,true,200,,,Leuven
10158889,house,house,300000,for sale,installed,gas,3,154,true,,,,Leuven
10147031,apartment,apartment,1495000,for sale,hyper equipped,gas,3,,true,,,,Leuven
10158745,house,house,349000,for sale,installed,gas,2,340,true,250,,,Leuven
10157174,house,house,452000,for sale,installed,gas,4,686,,,,,Leuven
10158111,house,house,495000,for sale,usa installed,gas,3,97,true,,,,Leuven
10159619,house,house,535000,for sale,hyper equipped,gas,3,452,true,250,,,Leuven
10159343,house,other property,645000,for sale,installed,fueloil,4,2901,true,,,,Leuven
10159324,house,house,595000,for sale,hyper equipped,gas,3,564,true,,true,,Leuven
10159340,house,villa,645000,for sale,installed,fueloil,4,2901,true,,,,Leuven
10158304,house,villa,649000,for sale,installed,fueloil,4,853,true,853,,,Leuven
10157542,house,house,675000,for sale,semi equipped,gas,4,243,,100,,,Leuven
10157751,house,house,770000,for sale,installed,gas,4,735,true,,,,Leuven
10158359,house,house,750000,for sale,,gas,6,282,true,110,,,Leuven
10157561,house,exceptional property,1950000,for sale,usa hyper equipped,gas,5,4000,true,,true,,Leuven
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
9919729,house,villa,790000,for sale,hyper equipped,gas,5,566,true,256,,,Brussel
10159220,apartment,apartment,209000,for sale,not installed,gas,2,,true,,,,Brussel
10157564,apartment,apartment,375000,for sale,usa hyper equipped,gas,2,,true,,,,Brussel
10157959,apartment,duplex,385000,for sale,usa hyper equipped,gas,3,,true,,,,Brussel
10157469,apartment,apartment,279000,for sale,hyper equipped,gas,2,,true,,,,Brussel
10160245,apartment,apartment,365000,for sale,hyper equipped,gas,2,,true,,,1,Brussel
10157726,apartment,duplex,2990000,for sale,hyper equipped,gas,3,,true,,,,Brussel
10146727,house,house,269000,for sale,installed,gas,2,54,,14,,,Brussel
10146601,apartment,apartment,249000,for sale,usa installed,gas,3,,true,7000,,,Brussel
10158639,apartment,apartment,424000,for sale,installed,fueloil,2,,,,,,Brussel
9982690,house,house,400000,for sale,installed,gas,2,412,true,300,,,Brussel
10147859,apartment,apartment,295000,for sale,usa hyper equipped,gas,2,,,,,,Brussel
9935270,house,villa,570000,for sale,hyper equipped,fueloil,4,1000,true,1000,,,Brussel
10146748,house,exceptional property,479000,for sale,semi equipped,gas,3,1082,true,8002,,,Brussel
10147424,apartment group,apartment group,450000 - 450000,for sale,,,,,,,,1,Brussel
10146526,house,house,525000,for sale,installed,gas,4,357,true,300,,,Brussel
10154574,house,mixed use building,219000,for sale,installed,fueloil,3,249,,100,,,Brussel
10154573,house,house,219000,for sale,installed,fueloil,3,249,,100,,,Brussel
10156897,house,villa,599000,for sale,hyper equipped,gas,5,580,true,580,,,Brussel
10156767,house,house,325000,for sale,installed,gas,4,185,true,,,,Brussel
10154806,house,house,245000,for sale,installed,gas,3,176,true,40,,,Brussel
10156155,house,house,305000,for sale,installed,fueloil,4,686,,,,,Brussel
10156593,house,house,1800000,for sale,,fueloil,9,1050,true,715,,,Brussel
10159969,house,house,299000,for sale,installed,,2,295,true,150,,,Brussel
10156456,apartment,flat studio,169000,for sale,installed,electric,0,,,,,,Brussel
10160576,house,house,575000,for sale,installed,fueloil,5,555,true,200,,,Brussel
10156318,apartment,apartment,260000,for sale,semi equipped,gas,1,,true,,,,Brussel
10154423,apartment,apartment,365000,for sale,,gas,2,,true,,,,Brussel
10154631,apartment,apartment,699000,for sale,usa hyper equipped,gas,2,,,,,,Brussel
10154630,apartment,duplex,489000,for sale,usa hyper equipped,gas,1,,,,,,Brussel
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10155619,apartment,penthouse,950000,for sale,usa hyper equipped,electric,2,,true,,,,Gent
10160391,apartment,apartment,239000,for sale,installed,,2,,true,,,,Gent
10156265,apartment,apartment,715000,for sale,usa hyper equipped,gas,2,,,,,,Gent
10161786,house,mixed use building,1450000,for sale,hyper equipped,gas,4,83,,,,,Gent
10154632,apartment,apartment,749000,for sale,usa hyper equipped,gas,2,,,,,,Gent
10039330,house,mansion,710000,for sale,hyper equipped,gas,5,241,true,130,,,Gent
10146795,apartment,apartment,215000,for sale,semi equipped,gas,2,,,,,,Gent
10093354,apartment,apartment,195000,for sale,semi equipped,gas,2,,,,,,Gent
10084941,apartment,apartment,220000,for sale,hyper equipped,gas,1,,true,,,1,Gent
10145402,apartment group,apartment group,160900 - 499900,for sale,,,,,,,,1,Gent
10084890,apartment,apartment,254000,for sale,hyper equipped,gas,1,,true,,,1,Gent
10145897,apartment,apartment,225000,for sale,installed,gas,2,,true,,,,Gent
10084884,apartment,apartment,259000,for sale,hyper equipped,gas,1,,true,,,1,Gent
10145212,apartment,apartment,259000,for sale,hyper equipped,electric,2,,true,,,,Gent
10146186,apartment,apartment,275000,for sale,installed,gas,1,,true,,,,Gent
10084862,apartment,apartment,280000,for sale,hyper equipped,gas,2,,true,,,1,Gent
10084860,apartment,apartment,280000,for sale,hyper equipped,gas,2,,true,,,1,Gent
10084865,apartment,apartment,280000,for sale,hyper equipped,gas,2,,true,,,1,Gent
9966662,apartment,apartment,310000,for sale,usa hyper equipped,gas,3,,true,,,1,Gent
10146530,apartment,penthouse,297000,for sale,installed,gas,1,,true,,,,Gent
10084867,apartment,apartment,287500,for sale,hyper equipped,gas,2,,true,,,1,Gent
10084889,apartment,apartment,317500,for sale,hyper equipped,gas,2,,true,,,1,Gent
10146116,house group,house group,325000 - 399000,for sale,,,,,,,,1,Gent
10084887,apartment,apartment,320000,for sale,hyper equipped,gas,2,,true,,,1,Gent
10084891,apartment,apartment,345000,for sale,hyper equipped,gas,3,,true,,,1,Gent
10145147,house,country cottage,325000,for sale,not installed,fueloil,4,555,true,380,,,Gent
10084943,apartment,apartment,335000,for sale,hyper equipped,gas,2,,true,,,1,Gent
10084886,apartment,apartment,350000,for sale,hyper equipped,gas,3,,true,,,1,Gent
10084885,apartment,apartment,349000,for sale,hyper equipped,gas,3,,true,,,1,Gent
10084882,apartment,apartment,349000,for sale,hyper equipped,gas,2,,true,,,1,Gent
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10145662,house,house,395000,for sale,hyper equipped,gas,3,315,true,200,,,Kortrijk
10145286,apartment group,apartment group,369000 - 490000,for sale,,,,,,,,1,Kortrijk
10084888,apartment,apartment,360000,for sale,hyper equipped,gas,3,,true,,,1,Kortrijk
10084883,apartment,apartment,399000,for sale,hyper equipped,gas,2,,true,,,1,Kortrijk
10084892,apartment,apartment,355000,for sale,hyper equipped,gas,2,,true,,,1,Kortrijk
10084858,apartment,duplex,415000,for sale,hyper equipped,gas,3,,true,,,1,Kortrijk
10145907,house,apartment block,800000,for sale,installed,fueloil,4,263,true,140,,,Kortrijk
10084857,apartment,duplex,420000,for sale,hyper equipped,gas,3,,true,,,1,Kortrijk
10084942,apartment,penthouse,465000,for sale,hyper equipped,gas,2,,true,,,1,Kortrijk
10145673,apartment,apartment,549000,for sale,installed,gas,3,,true,,,,Kortrijk
9996903,apartment,apartment,695000,for sale,not installed,gas,2,,true,,,1,Kortrijk
9592954,apartment,apartment,675000,for sale,hyper equipped,gas,2,,true,,,1,Kortrijk
10042906,apartment,apartment,1537000,for sale,hyper equipped,gas,2,,true,,,1,Kortrijk
10151897,house,mixed use building,275000,for sale,not installed,gas,4,833,,550,,,Kortrijk
10154065,house,house,398000,for sale,semi equipped,gas,6,515,true,,,,Kortrijk
10123723,apartment,apartment,1839000,for sale,hyper equipped,gas,3,,true,,,1,Kortrijk
10151618,house,mixed use building,455000,for sale,hyper equipped,gas,4,187,true,119,,,Kortrijk
10151664,house,house,195000,for sale,installed,gas,4,401,,400,,,Kortrijk
10152812,house,villa,1490000,for sale,hyper equipped,gas,4,486,true,200,,,Kortrijk
10151925,apartment,flat studio,175000,for sale,semi equipped,gas,0,,true,,,,Kortrijk
10152352,house,house,550000,for sale,semi equipped,fueloil,5,2310,,2310,,,Kortrijk
10152241,house,house,1780000,for sale,installed,gas,7,450,true,300,,,Kortrijk
10152425,apartment,duplex,259000,for sale,usa hyper equipped,gas,2,,,,,,Kortrijk
10133919,apartment,apartment,269000,for sale,,gas,2,,true,,,,Kortrijk
10153863,apartment,apartment,270000,for sale,hyper equipped,gas,1,,true,,,,Kortrijk
10151627,apartment,duplex,398000,for sale,hyper equipped,gas,2,,true,,,,Kortrijk
10151419,apartment,apartment,340000,for sale,installed,gas,3,,,,,,Kortrijk
10151669,apartment,penthouse,399000,for sale,installed,gas,2,,true,,,,Kortrijk
10151613,apartment,apartment,460000,for sale,semi equipped,gas,2,,true,,,,Kortrijk
10153836,apartment,apartment,495000,for sale,installed,gas,2,,true,,,,Kortrijk
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10141214,apartment,apartment,1995000,for sale,usa hyper equipped,gas,4,,true,,,1,Brussel
10152032,apartment,apartment,1875000,for sale,usa hyper equipped,gas,3,,true,,,,Brussel
10157266,apartment,apartment,169000,for sale,installed,,2,,true,,,,Brussel
10158242,apartment,apartment,260000,for sale,installed,gas,2,,,,,,Brussel
10152820,apartment,duplex,2990000,for sale,hyper equipped,gas,3,,true,,,,Brussel
10157772,apartment,apartment,249000,for sale,installed,gas,1,,true,,,,Brussel
10145213,apartment,apartment,209000,for sale,installed,gas,2,,true,,,,Brussel
10157202,apartment,apartment,395000,for sale,installed,,3,,true,,,,Brussel
