id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location,region,province,EPC
10162473,house,house,499000,for sale,installed,fueloil,5,3225,true,3067,,,Dinant,['Wallonïe'],['Namen'],[None]
10161789,house,house,720000,for sale,not installed,fueloil,5,176,true,45,,,Dinant,['Wallonïe'],['Namen'],[None]
10163054,house,mixed use building,1795000,for sale,not installed,gas,39,450,,,,,Dinant,['Wallonïe'],['Namen'],[None]
10162908,apartment group,apartment group,589000 - 1395000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
10161860,house,house,935000,for sale,usa hyper equipped,fueloil,4,13638,true,13473,,,Dinant,['Wallonïe'],['Namen'],[None]
10161299,house,house,199000,for sale,semi equipped,gas,3,260,,140,,,Dinant,['Wallonïe'],['Namen'],[None]
10161668,apartment group,apartment group,270000 - 535000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
10146915,apartment,apartment,339000,for sale,hyper equipped,gas,2,,true,,,1,Dinant,['Wallonïe'],['Namen'],[None]
10161684,apartment group,apartment group,235000 - 330000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
10161665,house,house,359000,for sale,hyper equipped,fueloil,4,1424,true,952,,,Dinant,['Wallonïe'],['Namen'],[None]
10161671,apartment group,apartment group,280000 - 320000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
10161680,house group,house group,375000 - 445000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
10161140,house,house,399000,for sale,installed,gas,4,485,true,230,,,Dinant,['Wallonïe'],['Namen'],[None]
10161675,house group,house group,478000 - 508000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
10161619,house,house,430000,for sale,installed,gas,3,179,,80,,,Dinant,['Wallonïe'],['Namen'],[None]
10160107,apartment,apartment,180000,for sale,semi equipped,gas,3,,true,,,,Dinant,['Wallonïe'],['Namen'],[None]
10161530,apartment,apartment,465000,for sale,installed,gas,2,,,,,,Dinant,['Wallonïe'],['Namen'],[None]
10160259,apartment,apartment,208000,for sale,usa installed,electric,2,,true,,,,Dinant,['Wallonïe'],['Namen'],[None]
10159979,apartment group,apartment group,225000 - 695000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
